date,confident_total,confident_correct,confident_wrong,confident_accuracy
2016-08-02,7,7,0,1.0
2016-12-27,4,4,0,1.0
2017-03-14,4,4,0,1.0
2017-03-27,4,4,0,1.0
2017-03-29,4,4,0,1.0
2017-04-04,4,4,0,1.0
2016-10-28,3,3,0,1.0
2016-11-21,3,3,0,1.0
2017-03-24,3,3,0,1.0
2017-04-07,3,3,0,1.0
2017-04-20,3,3,0,1.0
2017-09-26,3,3,0,1.0
2017-09-28,3,3,0,1.0
2017-11-24,3,3,0,1.0
2017-11-27,3,3,0,1.0
2017-01-04,2,2,0,1.0
2017-01-12,2,2,0,1.0
2017-02-10,2,2,0,1.0
2017-02-21,2,2,0,1.0
2017-03-06,2,2,0,1.0
2017-03-28,2,2,0,1.0
2017-04-03,2,2,0,1.0
2017-04-17,2,2,0,1.0
2017-05-03,2,2,0,1.0
2017-05-04,2,2,0,1.0
2017-05-31,2,2,0,1.0
2017-07-05,2,2,0,1.0
2017-07-21,2,2,0,1.0
2017-07-24,2,2,0,1.0
2017-08-28,2,2,0,1.0
2017-08-31,2,2,0,1.0
2017-09-27,2,2,0,1.0
2017-09-29,2,2,0,1.0
2017-10-09,2,2,0,1.0
2017-10-10,2,2,0,1.0
2017-10-11,2,2,0,1.0
2017-11-08,2,2,0,1.0
2017-11-22,2,2,0,1.0
2020-07-06,2,2,0,1.0
2016-11-15,1,1,0,1.0
2016-11-18,1,1,0,1.0
2016-11-24,1,1,0,1.0
2016-12-06,1,1,0,1.0
2016-12-19,1,1,0,1.0
2016-12-22,1,1,0,1.0
2017-01-09,1,1,0,1.0
2017-01-10,1,1,0,1.0
2017-02-01,1,1,0,1.0
2017-02-06,1,1,0,1.0
2017-02-13,1,1,0,1.0
2017-02-15,1,1,0,1.0
2017-04-18,1,1,0,1.0
2017-04-19,1,1,0,1.0
2017-04-21,1,1,0,1.0
2017-04-25,1,1,0,1.0
2017-04-26,1,1,0,1.0
2017-04-28,1,1,0,1.0
2017-05-02,1,1,0,1.0
2017-05-11,1,1,0,1.0
2017-05-24,1,1,0,1.0
2017-05-25,1,1,0,1.0
2017-05-26,1,1,0,1.0
2017-06-06,1,1,0,1.0
2017-06-07,1,1,0,1.0
2017-06-16,1,1,0,1.0
2017-06-21,1,1,0,1.0
2017-06-29,1,1,0,1.0
2017-07-06,1,1,0,1.0
2017-07-14,1,1,0,1.0
2017-07-19,1,1,0,1.0
2017-08-02,1,1,0,1.0
2017-08-03,1,1,0,1.0
2017-08-07,1,1,0,1.0
2017-08-24,1,1,0,1.0
2017-09-07,1,1,0,1.0
2017-09-14,1,1,0,1.0
2017-09-21,1,1,0,1.0
2017-09-25,1,1,0,1.0
2017-10-03,1,1,0,1.0
2017-10-04,1,1,0,1.0
2017-10-05,1,1,0,1.0
2017-10-12,1,1,0,1.0
2017-10-13,1,1,0,1.0
2017-10-16,1,1,0,1.0
2017-10-17,1,1,0,1.0
2017-10-18,1,1,0,1.0
2017-11-06,1,1,0,1.0
2017-11-09,1,1,0,1.0
2017-11-15,1,1,0,1.0
2017-11-16,1,1,0,1.0
2017-11-17,1,1,0,1.0
2017-11-20,1,1,0,1.0
2017-11-28,1,1,0,1.0
2017-11-30,1,1,0,1.0
2017-12-04,1,1,0,1.0
2018-01-29,1,1,0,1.0
2018-03-09,1,1,0,1.0
2018-03-12,1,1,0,1.0
2018-03-13,1,1,0,1.0
2018-03-14,1,1,0,1.0
2018-03-15,1,1,0,1.0
2018-03-16,1,1,0,1.0
2018-03-23,1,1,0,1.0
2018-03-27,1,1,0,1.0
2018-04-12,1,1,0,1.0
2018-04-13,1,1,0,1.0
2018-04-17,1,1,0,1.0
2018-04-24,1,1,0,1.0
2018-05-16,1,1,0,1.0
2018-05-18,1,1,0,1.0
2018-05-21,1,1,0,1.0
2018-05-23,1,1,0,1.0
2018-06-01,1,1,0,1.0
2018-06-04,1,1,0,1.0
2018-07-13,1,1,0,1.0
2018-07-16,1,1,0,1.0
2018-08-31,1,1,0,1.0
2018-09-04,1,1,0,1.0
2018-09-05,1,1,0,1.0
2019-02-21,1,1,0,1.0
2019-02-26,1,1,0,1.0
2019-02-27,1,1,0,1.0
2019-02-28,1,1,0,1.0
2019-03-01,1,1,0,1.0
2019-03-06,1,1,0,1.0
2019-04-02,1,1,0,1.0
2019-04-03,1,1,0,1.0
2019-04-04,1,1,0,1.0
2019-07-05,1,1,0,1.0
2019-07-08,1,1,0,1.0
2019-07-15,1,1,0,1.0
2020-02-12,1,1,0,1.0
2020-09-28,1,1,0,1.0
2021-01-05,1,1,0,1.0
2021-05-03,1,1,0,1.0
2021-08-26,1,1,0,1.0
2021-08-27,1,1,0,1.0
2021-09-02,1,1,0,1.0
2021-09-03,1,1,0,1.0
2021-12-28,1,1,0,1.0
2021-12-29,1,1,0,1.0
2023-10-25,1,1,0,1.0
2023-12-12,1,1,0,1.0
2024-02-28,1,1,0,1.0
2024-03-28,1,1,0,1.0
2024-05-08,1,1,0,1.0
2024-05-14,1,1,0,1.0
2024-05-15,1,1,0,1.0
2024-05-16,1,1,0,1.0
2024-05-17,1,1,0,1.0
2024-05-29,1,1,0,1.0
2024-06-04,1,1,0,1.0
